"Symbol","Name","IPOyear","Sector","Industry"
"FLWS","1-800 FLOWERS.COM, Inc.","1999","Consumer Services","Other Specialty Stores"
"FCTY","1st Century Bancshares, Inc","n/a","Finance","Major Banks"
"FCCY","1st Constitution Bancorp (NJ)","n/a","Finance","Savings Institutions"
"SRCE","1st Source Corporation","n/a","Finance","Major Banks"
"FUBC","1st United Bancorp, Inc. (FL)","n/a","Finance","Major Banks"
"VNET","21Vianet Group, Inc.","n/a","Technology","Computer Software: Programming, Data Processing"
"JOBS","51job, Inc.","2004","Technology","Diversified Commercial Services"
"EGHT","8x8 Inc","n/a","Public Utilities","Telecommunications Equipment"
"AVHI","A V Homes, Inc.","n/a","Capital Goods","Homebuilding"
"SHLM","A. Schulman, Inc.","1972","Basic Industries","Major Chemicals"
"AAON","AAON, Inc.","n/a","Capital Goods","Industrial Machinery/Components"
"ASTM","Aastrom Biosciences, Inc.","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ABAX","ABAXIS, Inc.","1992","Capital Goods","Industrial Machinery/Components"
"ABMD","ABIOMED, Inc.","n/a","Health Care","Medical/Dental Instruments"
"AXAS","Abraxas Petroleum Corporation","n/a","Energy","Oil & Gas Production"
"ACTG","Acacia Research Corporation","n/a","Miscellaneous","Multi-Sector Companies"
"ACHC","Acadia Healthcare Company, Inc.","n/a","Health Care","Medical Specialities"
"ACAD","ACADIA Pharmaceuticals Inc.","1985","Health Care","Major Pharmaceuticals"
"ACST","Acasti Pharma, Inc.","n/a","Health Care","Major Pharmaceuticals"
"AXDX","Accelerate Diagnostics, Inc.","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"ACCL","Accelrys, Inc.","1995","Technology","Computer Software: Prepackaged Software"
"ANCX","Access National Corporation","n/a","Finance","Savings Institutions"
"ARAY","Accuray Incorporated","2007","Health Care","Medical/Dental Instruments"
"ACRX","AcelRx Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"ACET","Aceto Corporation","n/a","Consumer Durables","Specialty Chemicals"
"ACHN","Achillion Pharmaceuticals, Inc.","2006","Health Care","Major Pharmaceuticals"
"ACIW","ACI Worldwide, Inc.","n/a","Technology","Computer Software: Prepackaged Software"
"ACNB","ACNB Corporation","n/a","Finance","Major Banks"
"ACOR","Acorda Therapeutics, Inc.","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ACFN","Acorn Energy, Inc.","n/a","Consumer Services","Military/Government/Technical"
"ACTS","Actions Semiconductor Co., Ltd.","2005","Technology","Semiconductors"
"ACPW","Active Power, Inc.","2000","Public Utilities","Electric Utilities: Central"
"ATVI","Activision Blizzard, Inc","n/a","Technology","Computer Software: Prepackaged Software"
"BIRT","Actuate Corporation","n/a","Technology","Computer Software: Prepackaged Software"
"ACUR","Acura Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"ACXM","Acxiom Corporation","n/a","Technology","EDP Services"
"ADUS","Addus HomeCare Corporation","2009","Health Care","Medical/Nursing Services"
"AEY","ADDvantage Technologies Group, Inc.","n/a","Consumer Services","Office Equipment/Supplies/Services"
"ADEP","Adept Technology, Inc.","n/a","Technology","Industrial Machinery/Components"
"ADBE","Adobe Systems Incorporated","1986","Technology","Computer Software: Prepackaged Software"
"ADTN","ADTRAN, Inc.","1994","Public Utilities","Telecommunications Equipment"
"ADES","Advanced Emissions Solutions, Inc.","n/a","Basic Industries","Major Chemicals"
"AEIS","Advanced Energy Industries, Inc.","1995","Capital Goods","Industrial Machinery/Components"
"ADVS","Advent Software, Inc.","1995","Technology","EDP Services"
"AEGR","Aegerion Pharmaceuticals, Inc.","2010","Health Care","Major Pharmaceuticals"
"AEGN","Aegion Corp","2000","Basic Industries","Water Supply"
"AEHR","Aehr Test Systems","1997","Capital Goods","Electrical Products"
"AEPI","AEP Industries Inc.","1986","Capital Goods","Specialty Chemicals"
"AVAV","AeroVironment, Inc.","2007","Capital Goods","Aerospace"
"AEZS","AEterna Zentaris Inc.","n/a","Health Care","Major Pharmaceuticals"
"ATRM","Aetrium Incorporated","1993","Capital Goods","Electrical Products"
"AFCE","AFC Enterprises, Inc.","n/a","Consumer Services","Restaurants"
"AFFX","Affymetrix, Inc.","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"AGEN","Agenus Inc.","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AGYS","Agilysys, Inc.","n/a","Technology","EDP Services"
"AGIO","Agios Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"AIRM","Air Methods Corporation","n/a","Transportation","Transportation Services"
"AIRT","Air T, Inc.","n/a","Transportation","Air Freight/Delivery Services"
"ATSG","Air Transport Services Group, Inc","n/a","Transportation","Air Freight/Delivery Services"
"AMCN","AirMedia Group Inc","1995","Technology","Advertising"
"AIXG","Aixtron SE","n/a","Technology","Industrial Machinery/Components"
"AKAM","Akamai Technologies, Inc.","1999","Miscellaneous","Business Services"
"AKRX","Akorn, Inc.","n/a","Health Care","Major Pharmaceuticals"
"ALSK","Alaska Communications Systems Group, Inc.","1999","Public Utilities","Telecommunications Equipment"
"AMRI","Albany Molecular Research, Inc.","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"ALCS","ALCO Stores, Inc.","n/a","Consumer Services","Department/Specialty Retail Stores"
"ADHD","Alcobra Ltd.","n/a","Health Care","Major Pharmaceuticals"
"ALXN","Alexion Pharmaceuticals, Inc.","1996","Health Care","Major Pharmaceuticals"
"ALXA","Alexza Pharmaceuticals, Inc.","2006","Health Care","Major Pharmaceuticals"
"ALCO","Alico, Inc.","n/a","Consumer Non-Durables","Farming/Seeds/Milling"
"ALGN","Align Technology, Inc.","2001","Health Care","Industrial Specialties"
"ALIM","Alimera Sciences, Inc.","2010","Health Care","Major Pharmaceuticals"
"ALKS","Alkermes plc","1991","Health Care","Major Pharmaceuticals"
"ALGT","Allegiant Travel Company","2006","Transportation","Air Freight/Delivery Services"
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","n/a","Finance","Savings Institutions"
"AFOP","Alliance Fiber Optic Products, Inc.","2000","Technology","Semiconductors"
"AIQ","Alliance HealthCare Services, Inc.","2001","Health Care","Medical Specialities"
"AHGP","Alliance Holdings GP, L.P.","2006","Energy","Coal Mining"
"ARLP","Alliance Resource Partners, L.P.","1999","Energy","Coal Mining"
"AHPI","Allied Healthcare Products, Inc.","1992","Health Care","Industrial Specialties"
"AMOT","Allied Motion Technologies, Inc.","n/a","Capital Goods","Electrical Products"
"ALLT","Allot Communications Ltd.","2006","Technology","Computer Communications Equipment"
"MDRX","Allscripts Healthcare Solutions, Inc.","1999","Technology","EDP Services"
"AFAM","Almost Family Inc","n/a","Health Care","Medical/Nursing Services"
"ALNY","Alnylam Pharmaceuticals, Inc.","2004","Health Care","Major Pharmaceuticals"
"AOSL","Alpha and Omega Semiconductor Limited","2010","Technology","Semiconductors"
"ATEC","Alphatec Holdings, Inc.","2006","Health Care","Medical/Dental Instruments"
"ASDR","ALPS ETF Trust VelocityShares Emerging Asia DR ETF","n/a","n/a","n/a"
"EMDR","ALPS ETF Trust VelocityShares Emerging Markets DR ETF","n/a","n/a","n/a"
"RUDR","ALPS ETF Trust VelocityShares Russia Select DR ETF","n/a","n/a","n/a"
"ALTI","Altair Nanotechnologies Inc.","n/a","Basic Industries","Major Chemicals"
"ALTR","Altera Corporation","1988","Technology","Semiconductors"
"ASPS","Altisource Portfolio Solutions S.A.","n/a","Consumer Services","Other Consumer Services"
"APSA","Alto Palermo S.A.","n/a","Consumer Services","Building operators"
"AIMC","Altra Holdings, Inc.","2006","Capital Goods","Industrial Machinery/Components"
"ALVR","Alvarion Ltd.","n/a","Public Utilities","Telecommunications Equipment"
"AMAG","AMAG Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"AMRN","Amarin Corporation PLC","1995","Health Care","Major Pharmaceuticals"
"AMZN","Amazon.com, Inc.","1997","Consumer Services","Catalog/Specialty Distribution"
"AMBC","Ambac Financial Group, Inc.","n/a","Finance","Property-Casualty Insurers"
"AMBCW","Ambac Financial Group, Inc.","n/a","Finance","Property-Casualty Insurers"
"AMBA","Ambarella, Inc.","n/a","Technology","Semiconductors"
"EPAX","Ambassadors Group, Inc.","n/a","Consumer Services","Other Consumer Services"
"AMBT","Ambient Corporation","n/a","Public Utilities","Telecommunications Equipment"
"AMBI","Ambit Biosciences Corporation","n/a","Health Care","Major Pharmaceuticals"
"AMCX","AMC Networks Inc.","n/a","Consumer Services","Television Services"
"AMED","Amedisys Inc","1987","Health Care","Medical/Nursing Services"
"UHAL","Amerco","n/a","Consumer Services","Rental/Leasing Companies"
"ASBI","Ameriana Bancorp","n/a","Finance","Savings Institutions"
"ATAX","America First Tax Exempt Investors, L.P.","n/a","Finance","Finance: Consumer Services"
"AMOV","America Movil, S.A.B. de C.V.","n/a","Public Utilities","Telecommunications Equipment"
"AGNC","American Capital Agency Corp.","1983","Consumer Services","Real Estate Investment Trusts"
"AGNCP","American Capital Agency Corp.","n/a","Consumer Services","Real Estate Investment Trusts"
"MTGE","American Capital Mortgage Investment Corp.","n/a","Consumer Services","Real Estate Investment Trusts"
"ACAS","American Capital, Ltd.","1997","n/a","n/a"
"ANCI","American Caresource Holdings Inc","n/a","Health Care","Hospital/Nursing Management"
"AETI","American Electric Technologies, Inc.","n/a","Energy","Industrial Machinery/Components"
"AMIC","American Independence Corp.","n/a","Finance","Accident &Health Insurance"
"AMNB","American National Bankshares, Inc.","n/a","Finance","Major Banks"
"ANAT","American National Insurance Company","n/a","Finance","Life Insurance"
"APFC","American Pacific Corporation","n/a","Basic Industries","Major Chemicals"
"APEI","American Public Education, Inc.","2007","Consumer Services","Other Consumer Services"
"ARII","American Railcar Industries, Inc.","2006","Capital Goods","Railroads"
"ARCP","American Realty Capital Properties, Inc.","n/a","Consumer Services","Real Estate Investment Trusts"
"AMRB","American River Bankshares","n/a","Finance","Major Banks"
"ASEI","American Science and Engineering, Inc.","n/a","Health Care","Medical Electronics"
"AMSWA","American Software, Inc.","n/a","Technology","Computer Software: Prepackaged Software"
"AMSC","American Superconductor Corporation","1991","Consumer Durables","Metal Fabrications"
"AMWD","American Woodmark Corporation","1986","Basic Industries","Forest Products"
"CRMT","America&#39;s Car-Mart, Inc.","n/a","Consumer Durables","Automotive Aftermarket"
"ABCB","Ameris Bancorp","1994","Finance","Major Banks"
"AMSF","AMERISAFE, Inc.","2005","Finance","Property-Casualty Insurers"
"ASRV","AmeriServ Financial Inc.","n/a","Finance","Major Banks"
"ASRVP","AmeriServ Financial Inc.","n/a","Finance","Major Banks"
"ATLO","Ames National Corporation","n/a","Finance","Major Banks"
"AMGN","Amgen Inc.","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"FOLD","Amicus Therapeutics, Inc.","2007","Health Care","Major Pharmaceuticals"
"AMKR","Amkor Technology, Inc.","1998","Technology","Semiconductors"
"AMSG","Amsurg Corp.","n/a","Health Care","Medical/Nursing Services"
"ASYS","Amtech Systems, Inc.","n/a","Technology","Industrial Machinery/Components"
"AFSI","AmTrust Financial Services, Inc.","n/a","Finance","Property-Casualty Insurers"
"AMRS","Amyris, Inc.","1992","Basic Industries","Major Chemicals"
"ANAC","Anacor Pharmaceuticals, Inc.","2010","Health Care","Major Pharmaceuticals"
"ANAD","ANADIGICS, Inc.","1995","Technology","Semiconductors"
"ADI","Analog Devices, Inc.","n/a","Technology","Semiconductors"
"ALOG","Analogic Corporation","1972","Capital Goods","Electrical Products"
"ANLY","Analysts International Corporation","n/a","Technology","EDP Services"
"ANEN","Anaren, Inc.","1972","Technology","Radio And Television Broadcasting And Communications Equipment"
"ANCB","Anchor Bancorp","2011","Finance","Banks"
"AMCF","Andatee China Marine Fuel Services Corporation","2010","Energy","Oil Refining/Marketing"
"ANDA","Andina Acquisition Corporation","n/a","Finance","Business Services"
"ANDAU","Andina Acquisition Corporation","n/a","Finance","Business Services"
"ANDAW","Andina Acquisition Corporation","n/a","Finance","Business Services"
"ANGI","Angie&#39;s List, Inc.","n/a","Consumer Services","Advertising"
"ANGO","AngioDynamics, Inc.","2004","Health Care","Medical/Dental Instruments"
"ANIP","ANI Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"ANIK","Anika Therapeutics Inc.","n/a","Health Care","Medical/Dental Instruments"
"ANSS","ANSYS, Inc.","1996","Technology","Computer Software: Prepackaged Software"
"ATRS","Antares Pharma, Inc.","2002","Health Care","Medical/Dental Instruments"
"ANTH","Anthera Pharmaceuticals, Inc.","2010","Health Care","Major Pharmaceuticals"
"APAGF","Apco Oil and Gas International Inc.","n/a","Energy","Oil & Gas Production"
"ATNY","API Technologies Corp.","n/a","Technology","Semiconductors"
"APOG","Apogee Enterprises, Inc.","1971","Capital Goods","Auto Parts:O.E.M."
"APOL","Apollo Group, Inc.","1994","Consumer Services","Other Consumer Services"
"AINV","Apollo Investment Corporation","2004","n/a","n/a"
"AAPL","Apple Inc.","1980","Technology","Computer Manufacturing"
"ARCI","Appliance Recycling Centers of America, Inc.","n/a","Consumer Services","Home Furnishings"
"AMAT","Applied Materials, Inc.","1972","Technology","Semiconductors"
"AMCC","Applied Micro Circuits Corporation","1997","Technology","Semiconductors"
"AREX","Approach Resources Inc.","2007","Energy","Oil & Gas Production"
"APRI","Apricus Biosciences, Inc","n/a","Health Care","Major Pharmaceuticals"
"AQU","Aquasition Corp.","n/a","Finance","Business Services"
"AQUUU","Aquasition Corp.","n/a","Finance","Business Services"
"AQUUW","Aquasition Corp.","n/a","Finance","Business Services"
"PETX","Aratana Therapeutics, Inc.","n/a","Health Care","Major Pharmaceuticals"
"ARCW","ARC Group Worldwide, Inc.","n/a","Consumer Services","Telecommunications Equipment"
"ABIO","ARCA biopharma, Inc.","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"ACGL","Arch Capital Group Ltd.","n/a","Finance","Property-Casualty Insurers"
"ACAT","Arctic Cat Inc.","1990","Capital Goods","Industrial Specialties"
"ARDNA","Arden Group, Inc.","n/a","Consumer Services","Food Chains"
"ARNA","Arena Pharmaceuticals, Inc.","2000","Health Care","Major Pharmaceuticals"
"ARCC","Ares Capital Corporation","1999","n/a","n/a"
"AGII","Argo Group International Holdings, Ltd.","n/a","Finance","Specialty Insurers"
"AGIIL","Argo Group International Holdings, Ltd.","n/a","Finance","Specialty Insurers"
"ARIA","ARIAD Pharmaceuticals, Inc.","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ARKR","Ark Restaurants Corp.","n/a","Consumer Services","Restaurants"
"ABFS","Arkansas Best Corporation","1992","Transportation","Trucking Freight/Courier Services"
"ARMH","ARM Holdings plc","n/a","Technology","Semiconductors"
"ARTX","Arotech Corporation","1994","Energy","Industrial Machinery/Components"
"ARQL","ArQule, Inc.","1996","Health Care","Major Pharmaceuticals"
"ARRY","Array BioPharma Inc.","2000","Health Care","Major Pharmaceuticals"
"ARRS","ARRIS Group, Inc.","1993","Technology","Radio And Television Broadcasting And Communications Equipment"
"AROW","Arrow Financial Corporation","n/a","Finance","Major Banks"
"ARWR","Arrowhead Research Corporation","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"ARTNA","Artesian Resources Corporation","n/a","Public Utilities","Water Supply"
"ARTC","ArthroCare Corporation","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","n/a","Capital Goods","Industrial Machinery/Components"
"ARUN","Aruba Networks, Inc.","2007","Technology","Computer peripheral equipment"
"ASBB","ASB Bancorp, Inc.","n/a","Finance","Savings Institutions"
"ASNA","Ascena Retail Group, Inc.","n/a","Consumer Services","Clothing/Shoe/Accessory Stores"
"ASCMA","Ascent Capital Group, Inc.","n/a","Consumer Services","Other Consumer Services"
"ASTI","Ascent Solar Technologies, Inc.","n/a","Technology","Semiconductors"
"AERL","Asia Entertainment & Resources Ltd","n/a","Consumer Services","Services-Misc. Amusement & Recreation"
"APWC","Asia Pacific Wire & Cable Corporation Limited","n/a","Basic Industries","Telecommunications Equipment"
"ASIA","AsiaInfo-Linkage, Inc.","n/a","Technology","Computer Software: Prepackaged Software"
"ASMI","ASM International N.V.","n/a","Technology","Industrial Machinery/Components"
"ASML","ASML Holding N.V.","1995","Technology","Industrial Machinery/Components"
"AZPN","Aspen Technology, Inc.","1994","Technology","EDP Services"
"ASBC","Associated Banc-Corp","n/a","Finance","Major Banks"
"ASBCW","Associated Banc-Corp","n/a","Finance","Major Banks"
"ASFI","Asta Funding, Inc.","1995","Finance","Finance Companies"
"ATEA","Astea International, Inc.","1995","Technology","Computer Software: Prepackaged Software"
"ASTE","Astec Industries, Inc.","1986","Capital Goods","Construction/Ag Equipment/Trucks"
"ASTX","Astex Pharmaceuticals, Inc.","1993","Health Care","Major Pharmaceuticals"
"ALOT","Astro-Med, Inc.","1983","Technology","Computer peripheral equipment"
"ATRO","Astronics Corporation","1972","Capital Goods","Military/Government/Technical"
"ASTC","Astrotech Corporation","n/a","Capital Goods","Military/Government/Technical"
"ASUR","Asure Software Inc","n/a","Technology","EDP Services"
"ATAI","ATA Inc.","2008","Consumer Services","Other Consumer Services"
"ATHN","athenahealth, Inc.","1991","Miscellaneous","Business Services"
"AFCB","Athens Bancshares Corporation","2010","Finance","Savings Institutions"
"ATHX","Athersys, Inc.","n/a","Health Care","Major Pharmaceuticals"
"AAME","Atlantic American Corporation","n/a","Finance","Life Insurance"
"ACFC","Atlantic Coast Federal Corporation","n/a","Finance","Savings Institutions"
"ATNI","Atlantic Tele-Network, Inc.","1991","Public Utilities","Telecommunications Equipment"
"ATLC","Atlanticus Holdings Corporation","1995","Finance","Finance: Consumer Services"
"AAWW","Atlas Air Worldwide Holdings","n/a","Transportation","Transportation Services"
"AFH","Atlas Financial Holdings, Inc.","n/a","Finance","Property-Casualty Insurers"
"ATML","Atmel Corporation","1991","Technology","Semiconductors"
"ATMI","ATMI Inc.","1993","Basic Industries","Major Chemicals"
"ATOS","Atossa Genetics Inc.","n/a","Health Care","Medical/Dental Instruments"
"ATRC","AtriCure, Inc.","1979","Health Care","Medical/Dental Instruments"
"ATRI","ATRION Corporation","n/a","Health Care","Medical/Dental Instruments"
"ATTU","Attunity Ltd.","n/a","Technology","Computer Software: Prepackaged Software"
"AUBN","Auburn National Bancorporation, Inc.","n/a","Finance","Major Banks"
"ADNC","Audience, Inc.","n/a","Technology","Semiconductors"
"AUDC","AudioCodes Ltd.","1999","Public Utilities","Telecommunications Equipment"
"ADAT","Authentidate Holding Corp.","n/a","Technology","EDP Services"
"ABTL","Autobytel Inc.","1999","Technology","Computer Software: Programming, Data Processing"
"ADSK","Autodesk, Inc.","n/a","Technology","Computer Software: Prepackaged Software"
"ADP","Automatic Data Processing, Inc.","n/a","Technology","EDP Services"
"AMAP","AutoNavi Holdings Limited","2010","Technology","Computer Software: Prepackaged Software"
"AUXL","Auxilium Pharmaceuticals, Inc.","2004","Health Care","Major Pharmaceuticals"
"AVGO","Avago Technologies Limited","2000","Technology","Semiconductors"
"AVNR","Avanir Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"AVEO","AVEO Pharmaceuticals, Inc.","2010","Health Care","Major Pharmaceuticals"
"AVNW","Aviat Networks, Inc.","n/a","Technology","Radio And Television Broadcasting And Communications Equipment"
"AVID","Avid Technology, Inc.","1993","Miscellaneous","Industrial Machinery/Components"
"CAR","Avis Budget Group, Inc.","n/a","Consumer Services","Rental/Leasing Companies"
"AWRE","Aware, Inc.","1996","Technology","Semiconductors"
"ACLS","Axcelis Technologies, Inc.","2000","Technology","Industrial Machinery/Components"
"AXGN","AxoGen, Inc.","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"AXTI","AXT Inc","1998","Technology","Semiconductors"
"BCOM","B Communications Ltd.","n/a","Consumer Services","Telecommunications Equipment"
"BOSC","B.O.S. Better Online Solutions","n/a","Technology","Computer Communications Equipment"
"BEAV","B/E Aerospace, Inc.","1990","Consumer Durables","Industrial Specialties"
"BIDU","Baidu, Inc.","2005","Technology","Computer Software: Programming, Data Processing"
"BCPC","Balchem Corporation","n/a","Basic Industries","Major Chemicals"
"BWINA","Baldwin & Lyons, Inc.","n/a","Finance","Property-Casualty Insurers"
"BWINB","Baldwin & Lyons, Inc.","n/a","Finance","Property-Casualty Insurers"
"BLDP","Ballard Power Systems, Inc.","n/a","Energy","Industrial Machinery/Components"
"BANC","Banc of California, Inc.","n/a","Finance","Major Banks"
"BANCL","Banc of California, Inc.","n/a","Finance","Major Banks"
"BANCP","Banc of California, Inc.","n/a","Finance","Major Banks"
"BANF","BancFirst Corporation","1993","Finance","Major Banks"
"BANFP","BancFirst Corporation","n/a","Finance","Major Banks"
"BKMU","Bank Mutual Corporation","n/a","Finance","Savings Institutions"
"BOCH","Bank of Commerce Holdings (CA)","n/a","Finance","Major Banks"
"BMRC","Bank of Marin Bancorp","n/a","Finance","Major Banks"
"BKSC","Bank of South Carolina Corp.","n/a","Finance","Major Banks"
"BOTJ","Bank of the James Financial Group, Inc.","n/a","Finance","Major Banks"
"OZRK","Bank of the Ozarks","1997","Finance","Major Banks"
"BFIN","BankFinancial Corporation","n/a","Finance","Savings Institutions"
"BANR","Banner Corporation","n/a","Finance","Major Banks"
"BBSI","Barrett Business Services, Inc.","1993","Technology","Professional Services"
"BSET","Bassett Furniture Industries, Incorporated","n/a","Consumer Durables","Home Furnishings"
"BAXS","Baxano Surgical, Inc.","2001","Health Care","Medical/Dental Instruments"
"BV","Bazaarvoice, Inc.","n/a","Technology","Computer Software: Prepackaged Software"
"BBCN","BBCN Bancorp, Inc.","n/a","Finance","Major Banks"
"BCBP","BCB Bancorp, Inc. (NJ)","2005","Finance","Savings Institutions"
"BCSB","BCSB Bancorp, Inc.","n/a","Finance","Savings Institutions"
"BECN","Beacon Roofing Supply, Inc.","2004","Consumer Services","RETAIL: Building Materials"
"BBGI","Beasley Broadcast Group, Inc.","2000","Consumer Services","Broadcasting"
"BEBE","bebe stores, inc.","1998","Consumer Non-Durables","Apparel"
"BBBY","Bed Bath & Beyond Inc.","1992","Consumer Services","Home Furnishings"
"BELFA","Bel Fuse Inc.","n/a","Capital Goods","Electrical Products"
"BELFB","Bel Fuse Inc.","n/a","Capital Goods","Electrical Products"
"BNCL","Beneficial Mutual Bancorp, Inc.","n/a","Finance","Savings Institutions"
"BERK","Berkshire Bancorp, Inc.","1972","Finance","Major Banks"
"BGMD","BG Medicine, Inc.","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"BGCP","BGC Partners, Inc.","n/a","Finance","Investment Bankers/Brokers/Service"
"BGSC","BGS Acquisition Corp.","n/a","Finance","Business Services"
"BGSCU","BGS Acquisition Corp.","n/a","Finance","Business Services"
"BGSCW","BGS Acquisition Corp.","n/a","Finance","Business Services"
"BGFV","Big 5 Sporting Goods Corporation","2002","Consumer Services","Other Specialty Stores"
"BASI","Bioanalytical Systems, Inc.","1997","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"BCRX","BioCryst Pharmaceuticals, Inc.","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"BIOD","Biodel Inc.","2007","Health Care","Major Pharmaceuticals"
"BDSI","BioDelivery Sciences International, Inc.","n/a","Health Care","Major Pharmaceuticals"
"BIOF","BioFuel Energy Corp.","2007","Basic Industries","Major Chemicals"
"BIIB","Biogen Idec Inc.","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"BIOL","Biolase, Inc.","n/a","Health Care","Medical/Dental Instruments"
"BLRX","BioLineRx Ltd.","n/a","Health Care","Major Pharmaceuticals"
"BMRN","BioMarin Pharmaceutical Inc.","1999","Health Care","Major Pharmaceuticals"
"BRLI","Bio-Reference Laboratories, Inc.","n/a","Health Care","Medical Specialities"
"BIOS","BioScrip, Inc.","n/a","Health Care","Medical/Nursing Services"
"BSTC","BioSpecifics Technologies Corp","n/a","Health Care","Major Pharmaceuticals"
"BSPM","Biostar Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"BOTA","Biota Pharmaceuticals, Inc.","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"BEAT","BioTelemetry, Inc.","2008","Health Care","Medical/Dental Instruments"
"BDMS","Birner Dental Management Services, Inc.","1998","Health Care","Medical/Nursing Services"
"BJRI","BJ&#39;s Restaurants, Inc.","n/a","Consumer Services","Restaurants"
"BBOX","Black Box Corporation","n/a","Technology","Computer Communications Equipment"
"BDE","Black Diamond, Inc.","1996","Consumer Non-Durables","Recreational Products/Toys"
"BLKB","Blackbaud, Inc.","2004","Technology","Computer Software: Prepackaged Software"
"BBRY","BlackBerry Limited","n/a","Public Utilities","Telecommunications Equipment"
"HAWK","Blackhawk Network Holdings, Inc.","n/a","Finance","Finance: Consumer Services"
"BKCC","BlackRock Kelso Capital Corporation","2007","n/a","n/a"
"ADRA","BLDRS Asia 50 ADR Index Fund","n/a","n/a","n/a"
"ADRD","BLDRS Developed Markets 100 ADR Index Fund","n/a","n/a","n/a"
"ADRE","BLDRS Emerging Markets 50 ADR Index Fund","n/a","n/a","n/a"
"ADRU","BLDRS Europe 100 ADR Index Fund","n/a","n/a","n/a"
"BLMN","Bloomin&#39; Brands, Inc.","n/a","Consumer Services","Restaurants"
"BCOR","Blucora, Inc.","n/a","Technology","EDP Services"
"NILE","Blue Nile, Inc.","2004","Consumer Services","Consumer Specialties"
"BLUE","bluebird bio, Inc.","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"BKEP","Blueknight Energy Partners L.P., L.L.C.","n/a","Energy","Natural Gas Distribution"
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","n/a","Energy","Natural Gas Distribution"
"BPHX","BluePhoenix Solutions, Ltd.","n/a","Technology","EDP Services"
"BMC","BMC Software, Inc.","n/a","Technology","Computer Software: Prepackaged Software"
"BNCN","BNC Bancorp","n/a","Finance","Major Banks"
"BOBE","Bob Evans Farms, Inc.","n/a","Consumer Services","Restaurants"
"BODY","Body Central Corp.","1991","Consumer Services","Clothing/Shoe/Accessory Stores"
"BOFI","BofI Holding, Inc.","2005","Finance","Savings Institutions"
"WIFI","Boingo Wireless, Inc.","n/a","Consumer Services","Telecommunications Equipment"
"BOKF","BOK Financial Corporation","n/a","Finance","Major Banks"
"BOLT","Bolt Technology Corporation","1981","Energy","Metal Fabrications"
"BONA","Bona Film Group Limited","2010","Consumer Services","Movies/Entertainment"
"BNSO","Bonso Electronics International, Inc.","n/a","Capital Goods","Industrial Machinery/Components"
"BAMM","Books-A-Million, Inc.","1992","Consumer Services","Other Specialty Stores"
"BPFH","Boston Private Financial Holdings, Inc.","n/a","Finance","Major Banks"
"BPFHP","Boston Private Financial Holdings, Inc.","n/a","Finance","Major Banks"
"BPFHW","Boston Private Financial Holdings, Inc.","n/a","Finance","Major Banks"
"EPAY","Bottomline Technologies, Inc.","1999","Technology","Computer Software: Prepackaged Software"
"BDBD","Boulder Brands, Inc.","n/a","Consumer Non-Durables","Packaged Foods"
"BBRG","Bravo Brio Restaurant Group, Inc.","2010","Consumer Services","Restaurants"
"BBEP","BreitBurn Energy Partners, L.P.","2006","Energy","Oil & Gas Production"
"BDGE","Bridge Bancorp, Inc.","n/a","Finance","Major Banks"
"BBNK","Bridge Capital Holdings","n/a","Finance","Major Banks"
"BLIN","Bridgeline Digital, Inc.","n/a","Technology","Computer Software: Prepackaged Software"
"BRID","Bridgford Foods Corporation","n/a","Consumer Non-Durables","Specialty Foods"
"BCOV","Brightcove Inc.","n/a","Technology","EDP Services"
